# Generated by mutraff_edges_csv.py , by alvaro.paricio@uah.es
id,lat,long
-123483821#7,1376907045,2027136075
-123483822#0,3577719398,246255595
-123483822#1,1376907093,3577719398
-123483825#0,3855467046,3855467039
-123483825#1,3855467051,3855467046
-123483825#2,322086008,3855467051
-123483829#0,1376907100,259861762
-123483829#1,1376907268,1376907100
-123483836,1376907356,1376906292
-123483852,1376906639,1376907307
-123483854,1376906737,1376906900
-123483857#0,259862790,259862791
-123483857#1,259862787,259862790
-123483857#2,259862786,259862787
-123483857#3,2779166203,259862786
-123483857#4,267044838,2779166203
-123483861,1376907238,3855524223
-123483880#0,1376906423,1376906654
-123483880#1,1376906978,1376906423
-123483885,1376907390,1376906381
-123483888#0,1376907041,259134158
-123483888#1,1376906292,1376907041
-123483894,1376907041,1376907356
-123483911#0,1376906660,3853284421
-123483911#1,1376907477,1376906660
-123483911#2,1376907145,1376907477
-123483911#3,1376906489,1376907145
-123483912,1376906636,1376906961
-123483918,259134168,311421701
-123483920#0,1376907339,1376906672
-123483920#1,1376906512,1376907339
-123483949,259861593,259861591
-123483951#0,1376906888,1376907132
-123483951#1,1376906792,1376906888
-123483958#0,1376907464,1376906991
-123483958#1,1376907242,1376907464
-123483968,1376907356,1376906921
-123483978#0,1376906625,1376906789
-123483978#1,1376906676,1376906625
-123483978#2,1376907047,1376906676
-123483978#3,1376906695,1376907047
-123483978#4,370868998,1376906695
-123483978#5,1376907129,370868998
-123483978#6,1376906991,1376907129
-123483978#7,1376907108,1376906991
-123483998,1376906986,259134171
-123483999,1376906718,1376907207
-123484005#0,1376906921,258584307
-123484005#1,3855467046,1376906921
-123484012#0,1376906818,1376907397
-123484012#1,1376906625,1376906818
-123484020#0,1376906834,259862723
-123484020#1,1376907247,1376906834
-123484020#2,1376907321,1376907247
-123484020#3,259134210,1376907321
-123484027#0,1376906419,1376906911
-123484027#1,1376907164,1376906419
-123484050#0,3815365709,259094459
-123484050#1,1376907207,3815365709
-123484063,1376906419,259862784
-123484070#0,1376907416,1376906988
-123484070#1,1376906838,1376907416
-123484070#2,1376906821,1376906838
-123484070#3,1376907414,1376906821
-123484070#4,1376907240,1376907414
-123484081,1376907404,1376906406
-123484086#0,1376906456,637775617
-123484086#1,1376906948,1376906456
-123484086#2,1222027585,1376906948
-123484086#3,1222026980,1222027585
-123484086#4,1376907258,1222026980
-123484086#5,1376907351,1376907258
-123484086#6,2027136225,1376907351
-123484086#7,1376906594,2027136225
-123484089,1376906931,259861654
-123484094#0,1376907150,1376907007
-123484094#1,1376906834,1376907150
-123484097,1376906505,259862785
-123484102,1376907134,1376906479
-123484104#0,1376907325,1376906277
-123484104#1,1376906677,1376907325
-123484104#2,1376906658,1376906677
-123484104#3,2027136226,1376906658
-123484104#4,1376906836,2027136226
-123484110,1376906660,1376907477
-123484116#0,1376907213,1376906550
-123484116#1,1376906676,1376907213
-123484130,1376906903,1376907150
-123484137,1376906760,1376906577
-123484141#0,2027136227,1376907014
-123484141#1,1376907240,2027136227
-123484141#2,1376906836,1376907240
-123484141#3,1376907250,1376906836
-123484141#4,1376907323,1376907250
-123484141#5,1376907414,1376907323
-123484145,1376906575,1376907404
-123484149,1376907129,1376907304
-123484158#0,1376906903,1376907412
-123484158#1,1376907247,1376906903
-123484162#0,4111998694,1376906853
-123484162#1,4111998715,4111998694
-123484162#10,259861882,1376906780
-123484162#2,4111998717,4111998715
-123484162#3,4111998718,4111998717
-123484162#4,4111998722,4111998718
-123484162#5,1376907195,4111998722
-123484162#6,4111998723,1376907195
-123484162#7,1376907362,4111998723
-123484162#8,4111998725,1376907362
-123484162#9,1376906780,4111998725
-123484163#0,1376907490,259862783
-123484163#1,2779166194,1376907490
-123484163#2,3855465495,2779166194
-123484168#0,1376907242,1376906326
-123484168#1,1376906952,1376907242
-123484170#0,1376907485,1376906674
-123484170#1,1376906978,1376907485
-123484170#2,1376906516,1376906978
-123484170#3,1376906498,1376906516
-123484170#4,1376907250,1376906498
-123484176,1376906501,1376906983
-123484178#0,991966654,991966693
-123484178#1,991966639,991966654
-123800360,1379337469,1379337570
-123800452,1222027585,1222026627
-124900771,420075640,1388648762
-129144261,1425500610,1373121191
-129144289#0,1425500447,833670369
-129144289#1,2542799127,1425500447
-129144289#2,1425500667,2542799127
-129144299,370871000,259133617
-129144301,1425500427,1425500479
-134180009#0,311422038,311422036
-134180009#1,423001639,311422038
-134180010#0,1475566262,311422038
-134180010#1,311422045,1475566262
-134180010#2,1475566264,311422045
-134180010#3,311422041,1475566264
-134180011#0,311422047,1475566262
-134180011#1,423001642,311422047
-134180011#2,423001562,423001642
-134241634,1476745475,1476745473
-134241635,1060458848,422996244
-148858941#0,4078122830,1619218364
-148858941#1,4078122826,4078122830
-148858941#2,1619218333,4078122826
-150036328#0,637775636,637775623
-150036328#1,637775634,637775636
-150036343#0,637775618,637775616
-150036343#1,2027136244,637775618
-150036343#2,1629727004,2027136244
-150036343#3,1376907113,1629727004
-150036343#4,637775621,1376907113
-150036346,637775601,637775599
-150036351,637775628,637775608
-150036359#0,637775651,637775654
-150036359#1,637775659,637775651
-150036359#2,370349337,637775659
-150036371#0,637775657,370349336
-150036371#1,637775661,637775657
-150036371#2,370706906,637775661
-150036371#3,1629726937,370706906
-150036371#4,370349337,1629726937
-150036376#0,637775634,1629726904
-150036376#1,637775606,637775634
-150036376#2,1629726756,637775606
-150036376#3,1629726637,1629726756
-150036376#4,637775608,1629726637
-150036376#5,637775613,637775608
-150036376#6,1629726527,637775613
-150036376#7,637775586,1629726527
-150036376#8,637775585,637775586
-150036376#9,637775583,637775585
-150036384#0,637775624,637775629
-150036384#1,637775606,637775624
-150036397#0,2027136236,1629726871
-150036397#1,1629726878,2027136236
-150036397#2,637775617,1629726878
-150036407#0,370599835,1629726240
-150036407#1,370599700,370599835
-150036407#2,370349331,370599700
-150036422,1629726187,1629726185
-150928159#0,246256416,585120568
-150928159#1,1637896339,246256416
-150928159#2,1637896311,1637896339
-150928159#3,585120734,1637896311
-150928159#4,1637896275,585120734
-150932467#0,3410700676,1637948511
-150932467#1,1637948516,3410700676
-150932474#0,3410700669,1637948474
-150932474#1,1637948514,3410700669
-150932482#0,3410700667,1637948505
-150932482#1,1637948514,3410700667
-150932482#2,1637948515,1637948514
-150932483#0,3541614426,259860920
-150932483#1,3086181518,3541614426
-150932483#2,1637948474,3086181518
-150932483#3,1637948505,1637948474
-150932483#4,259860921,1637948505
-150932487#0,3410608398,1637948665
-150932487#1,3410608086,3410608398
-150932487#2,420418790,3410608086
-150932487#3,1639230289,420418790
-151082192,637776054,1639230380
-151292469,259862793,258583792
-151292475#0,2337284772,259862918
-151292475#1,3540264757,2337284772
-151292475#2,2337284769,3540264757
-151292475#3,4112514643,2337284769
-151292475#4,2337284764,4112514643
-151292475#5,259862919,2337284764
-154170658#0,897311648,2582837760
-154170658#1,2582837762,897311648
-154170658#2,370869465,2582837762
-154170658#3,370869401,370869465
-154170688,1667524177,1667524186
-154170701,1667524175,1667524176
-154170703#0,1667524180,1667524179
-154170703#1,1667524186,1667524180
-154170705#0,1667524176,1667524174
-154170705#1,1667524179,1667524176
-154170709,370869503,1667524177
-154170717,370869506,1667524179
-154170742#0,1667524174,1667524172
-154170742#1,370869503,1667524174
-156663586#0,2622854574,311296951
-156663586#1,2622854575,2622854574
-156663597#0,1688988704,1688988678
-156663597#1,1705695936,1688988704
-156663597#2,311421968,1705695936
-156663597#3,311421969,311421968
-156663597#4,1688988728,311421969
-156663599#0,1688988785,311296951
-156663599#1,1641127173,1688988785
-158255560,430169810,1704922596
-158255563,370531420,1704922572
-158255565,258720876,259090895
-158255569,3197948705,1704922574
-158255573,423004060,1704922571
-158255574#0,1704922590,1704922597
-158255574#1,1704922587,1704922590
-158255574#2,259090895,1704922587
-158255574#3,1704922597,259090895
-158255575#0,1704964373,1704922583
-158255575#1,1704922583,1704964373
-158255575#2,1704922567,1704922583
-158255580#0,1704964375,1704922580
-158255580#1,1704922580,1704964375
-158260380,1704964375,1704922572
-158265372,1705000770,1705000772
-158265374#0,1705000728,1705000698
-158265374#1,1705000683,1705000728
-158265378#0,3847048115,1705000721
-158265378#1,3976905654,3847048115
-158265378#2,1705000723,3976905654
-158265379#0,370531892,259509051
-158265379#1,259509357,370531892
-158265379#2,370531841,259509357
-158265379#3,423006490,370531841
-158265379#4,259509054,423006490
-158265382#0,311422052,1705000635
-158265382#1,1705000669,311422052
-158265382#2,2301329087,1705000669
-158265384#0,3891618027,259509498
-158265384#1,1705000653,3891618027
-158265386,1705000676,1705000752
-158265387,423003639,1705000651
-158265389,1704922572,423003845
-158273354#0,2069904125,370531763
-158273354#1,370531761,2069904125
-158273361,259509116,259509209
-158273362,370531088,1705071458
-158273363#0,2301266345,1705071561
-158273363#1,1705071463,2301266345
-158273364,370531763,430169810
-158273368#0,423005706,430169809
-158273368#1,430169807,423005706
-158273368#2,430169810,430169807
-158273369,1705071505,370532333
-158273375,1705071508,370532329
-158273379#0,1705071510,1705071532
-158273379#1,1705071493,1705071510
-158273379#2,1705071529,1705071493
-158273379#3,1705071496,1705071529
-158273379#4,1705071561,1705071496
-158273379#5,1705071532,1705071561
-158349112,1705695879,1705695868
-158349113#0,1705695901,2360525649
-158349113#1,1705695913,1705695901
-158349114,1705695863,311422021
-158349115,1705695877,1705695897
-158349117#0,3010513662,1705695905
-158349117#1,1705695913,3010513662
-158349117#2,1705695868,1705695913
-158349117#3,3625850058,1705695868
-158349118,1705695859,1705695913
-158349119#0,4112476954,1705695874
-158349119#1,2360535143,4112476954
-158349119#2,1705695936,2360535143
-158349121,1705695861,1705695871
-158350660,259090949,1705717494
-158350661,1705717487,259090951
-161480961,1734488809,259718175
-161482080#0,259717992,259134725
-161482080#1,370604223,259717992
-161482080#2,1849049521,370604223
-161482080#3,1757096828,1849049521
-161482080#4,895901214,1757096828
-161482080#5,3611543399,895901214
-161482080#6,1734488811,3611543399
-164049083#0,3770784662,886635563
-164049083#1,3770784665,3770784662
-164049083#10,1849049491,3332619146
-164049083#11,2024908764,1849049491
-164049083#12,1734488809,2024908764
-164049083#13,259718173,1734488809
-164049083#14,895901140,259718173
-164049083#15,3611543398,895901140
-164049083#16,1757096826,3611543398
-164049083#17,259133819,1757096826
-164049083#2,259718264,3770784665
-164049083#3,1849049481,259718264
-164049083#4,1849049483,1849049481
-164049083#5,1849049485,1849049483
-164049083#6,259718263,1849049485
-164049083#7,1849049487,259718263
-164049083#8,1849049489,1849049487
-164049083#9,3332619146,1849049489
-165660895#0,1771994440,1771994441
-165660895#1,1771994445,1771994440
-165660895#2,1771994449,1771994445
-165660895#3,1771994550,1771994449
-165660895#4,1771994449,1771994550
-165660898,1771994578,1771994552
-165660909,311472898,311472897
-165660914,1771994398,1771994440
-166184211,1776661881,1637948710
-166184212,370606529,1776661880
-174188601,1709828115,1709828125
-174188603#0,259133801,259133799
-174188603#1,259133802,259133801
-174188603#10,259133787,1849049533
-174188603#2,259133803,259133802
-174188603#3,1849049530,259133803
-174188603#4,259133804,1849049530
-174188603#5,259133805,259133804
-174188603#6,259133806,259133805
-174188603#7,259133807,259133806
-174188603#8,895901132,259133807
-174188603#9,1849049533,895901132
-174188606#0,370530932,311296807
-174188606#1,3972432512,370530932
-174188606#2,370530885,3972432512
-174188606#3,370530866,370530885
-174188606#4,370530734,370530866
-174188606#5,370531140,370530734
-174188606#6,311296798,370531140
-174188609,1849049519,1849049491
-174188610,1849049493,1849049481
-174188612,1849049503,1849049483
-174188613,1849049487,1849049489
-179175847,420418804,1895230820
-183334630,258584560,1910556858
-183372427,1937458359,1619218494
-183372433,1937458453,1937458391
-183372461,258584559,258584558
-188988853,3987063982,370530782
-188988855#0,370531081,259094270
-188988855#1,259094274,370531081
-191916907,247047492,2024767464
-191926973#0,259090951,259090950
-191926973#1,259090952,259090951
-191930236#0,3631502281,259090952
-191930236#1,259090953,3631502281
-191930237,259090950,259090949
-191930374,2024908764,2024908765
-191932329#0,259096350,3631502282
-191932329#1,259096351,259096350
-192001788#0,409502745,1053030544
-192001788#1,1053030071,409502745
-192001788#2,409502746,1053030071
-192001788#3,409502747,409502746
-192001789,2025678464,2025678468
-192143688,2027052030,2027052028
-192156453,259096350,259096301
-192156456,311422029,258720872
-192156459,259096351,1704922590
-192156461#0,2716078552,2716078551
-192156461#1,2716078550,2716078552
-192156461#2,423000013,2716078550
-192156461#3,258720878,423000013
-192156461#4,2716078551,258720878
-192156462,2027166058,423000692
-192156463#0,2027166855,2027166050
-192156463#1,259090894,2027166855
-192156583#0,2027166855,259090894
-192156583#1,259091227,2027166855
-192156583#2,259090894,259091227
-192453746#0,259509002,2030066341
-192453746#1,311297066,259509002
-192453746#2,1641126971,311297066
-192453747,209040098,1705071529
-192453748#0,259509213,1705071561
-192453748#1,2069907359,259509213
-192453748#2,259509093,2069907359
-192453748#3,2030066350,259509093
-192453750#0,2069907612,209040130
-192453750#1,209040098,2069907612
-192453751#0,2069902423,2030066350
-192453751#1,2030066341,2069902423
-192453752#0,209040087,209040098
-192453752#1,1705071496,209040087
-192453753#0,2069902426,2030066341
-192453753#1,2030066350,2069902426
-194778550#0,4224713031,370870344
-194778550#1,2052822383,4224713031
-194778550#2,370869888,2052822383
-194778551,2052827964,2052822383
-194778553,2052822369,370869884
-194778667#0,370870417,370869884
-194778667#1,2052823794,370870417
-194778667#2,2052823795,2052823794
-194778667#3,2052823788,2052823795
-195800424,247047385,2062206363
-196009754,409498089,1139411796
-196065680,2063855559,2063855547
-196251461#0,1131520992,806944782
-196251461#1,1131520797,1131520992
-196251461#2,1053030171,1131520797
-196251462,247047383,1119354878
-196266584,2066148234,2066148202
-196691542#0,259720138,1351112711
-196691542#1,259720139,259720138
-196691546#0,2069893522,1351112710
-196691546#1,1351112711,2069893522
-196693426#0,1705071490,1705071463
-196693426#1,2069907355,1705071490
-196693426#2,423006381,2069907355
-196693426#3,430169809,423006381
-197934830#0,3976233247,259134788
-197934830#1,311422120,3976233247
-197934830#2,3976233245,311422120
-197934830#3,311422127,3976233245
-197934830#4,3976233243,311422127
-197934830#5,311422161,3976233243
-197934830#6,3976233241,311422161
-197934830#7,259134789,3976233241
-197934831#0,1985575371,259134790
-197934831#1,3976231325,1985575371
-197934831#2,311422198,3976231325
-197934831#3,3976230781,311422198
-197934831#4,311296725,3976230781
-197934831#5,1629726187,311296725
-197934831#6,3976230779,1629726187
-197934831#7,259134791,3976230779
-197934835#0,2081286188,259134791
-197934835#1,259134792,2081286188
-197934836#0,2081286179,259134789
-197934836#1,259134790,2081286179
-197934837#0,3976221009,259134793
-197934837#1,3976221004,3976221009
-197934837#2,3976221002,3976221004
-197934837#3,3976220999,3976221002
-197934837#4,3976220997,3976220999
-197934837#5,3976209132,3976220997
-197934837#6,3976209130,3976209132
-197934837#7,4415228480,3976209130
-197934837#8,259134796,4415228480
-197934838#0,4415234754,370874488
-197934838#1,311296750,4415234754
-197934971#0,1705071447,259134781
-197934971#1,311296691,1705071447
-197934971#2,2300722373,311296691
-197934971#3,259134783,2300722373
-197934971#4,259134784,259134783
-197934971#5,311296716,259134784
-19915272#0,2590644156,259094114
-19915272#1,311422020,2590644156
-19915272#2,370872905,311422020
-19915272#3,1705695879,370872905
-19915272#4,1688988656,1705695879
-19915272#5,1705695901,1688988656
-19915272#6,1705695897,1705695901
-19915272#7,3625850079,1705695897
-19915272#8,3625850080,3625850079
-19917361,209040199,370602591
-206095635#0,3005656419,311296580
-206095635#1,420429087,3005656419
-212506551,259134722,2223529150
-213204996,2229433367,409505973
-217791827#0,1222026806,1222026980
-217791827#1,2027136213,1222026806
-217791827#2,1222027349,2027136213
-217791827#3,1222027182,1222027349
-217791827#4,1222026681,1222027182
-217791827#5,1222027606,1222026681
-217791827#6,2027136043,1222027606
-217791827#7,1222027028,2027136043
-218015777,259261825,2273234429
-218015778#0,259261580,259261820
-218015778#1,2273234412,259261580
-218015779#0,2273234414,2273234412
-218015779#1,259254691,2273234414
-218162389#0,370869624,2274365611
-218162389#1,1329797919,370869624
-218162391,259134596,2274365954
-218162392#0,259262391,259134596
-218162392#1,1060334475,259262391
-218162394#0,259261518,259261517
-218162394#1,259134637,259261518
-218162395,259261517,259254691
-218162396,259254519,259134634
-218162397#0,259261823,259254691
-218162397#1,2273234429,259261823
-218162400,259134597,259262206
-218162401,259134596,259134634
-218162402,259134597,259134596
-218162425#0,259133875,2274365606
-218162425#1,4241990601,259133875
-218162425#2,259133877,4241990601
-218174411,2274485850,259261818
-218174413,259261819,2274485850
-218174415,259254536,259261818
-221078255,1705000707,2301329084
-221080071,2301357846,370531564
-221080549,2301363284,2301363281
-221092675,322086046,3855467051
-221092679,322086010,322086012
-225743996#0,3941545369,1705071475
-225743996#1,3045840584,3941545369
-225743996#2,3941545367,3045840584
-225743996#3,259134781,3941545367
-22726238#0,3086756392,259716658
-22726238#1,2991323654,3086756392
-22726238#2,259133916,2991323654
-227354784#0,1705695859,1705695905
-227354784#1,3861171194,1705695859
-227354784#2,259094125,3861171194
-227354784#3,3987064002,259094125
-227354784#4,3987063993,3987064002
-227354784#5,3987063987,3987063993
-227354784#6,259094128,3987063987
-22890621#0,3086181512,246254024
-22890621#1,1060413973,3086181512
-22890686#0,3410701593,246255534
-22890686#1,246255594,3410701593
-22890686#2,246255595,246255594
-22890686#3,246255591,246255595
-22892064#0,1404485890,1391562491
-22892064#1,2300789603,1404485890
-22892064#2,2300789605,2300789603
-22892064#3,2683379882,2300789605
-22892064#4,2683379885,2683379882
-22892064#5,2683379898,2683379885
-22892064#6,246284825,2683379898
-22933161#0,3627823616,247047760
-22933161#1,247047766,3627823616
-22933163,247047767,247047766
-22933164,247047769,247047767
-22933251#0,247047384,247047383
-22933251#1,247047385,247047384
-22933251#2,247048542,247047385
-22933251#3,247047492,247048542
-22933251#4,3980607712,247047492
-22933251#5,247047493,3980607712
-22933251#6,247047498,247047493
-23352493#0,258578505,252862471
-23352493#1,259091742,258578505
-23352493#2,259091740,259091742
-23352493#3,765364240,259091740
-23352493#4,3873336434,765364240
-23352493#5,252862472,3873336434
-23352493#6,258710168,252862472
-23858944#0,3627841234,258579401
-23858944#1,258582088,3627841234
-23858944#2,2081292405,258582088
-23858944#3,2081292432,2081292405
-23867938,1641127137,258710168
-23869711#0,258720883,420421173
-23869711#1,258720884,258720883
-23869711#2,258720885,258720884
-23869997,258720872,258720746
-23870088,258719565,258719566
-23870217#0,3972432550,258720887
-23870217#1,258721277,3972432550
-23881407#0,2650770160,258850169
-23881407#1,364542909,2650770160
-23881461#0,311296916,258709316
-23881461#1,258850724,311296916
-23881461#2,370871511,258850724
-23881461#3,1425500427,370871511
-23881461#4,1425500445,1425500427
-23881461#5,258850725,1425500445
-23904430,259090949,259090894
-23904431,259090952,259090894
-23904435#0,259091003,259090950
-23904435#1,259091004,259091003
-23904436#0,1705717494,259091003
-23904436#1,258720872,1705717494
-23904447#0,259091227,258720874
-23904447#1,259090894,259091227
-23904468#0,2608154615,252862472
-23904468#1,259091766,2608154615
-23904477,259092717,259091766
-23904499,259092049,259091883
-23904506#0,259092061,259092049
-23904506#1,1705695871,259092061
-23904506#2,1705695863,1705695871
-23904506#3,259092057,1705695863
-23904519#0,259092129,259092061
-23904519#1,259092130,259092129
-23904519#2,259092060,259092130
-23904598,259092612,258720884
-23904785#0,370530942,3987063829
-23904785#1,370530981,370530942
-23904785#2,370530782,370530981
-23904785#3,370530702,370530782
-23904785#4,259094270,370530702
-23904785#5,259094271,259094270
-23905091#0,259090953,573531618
-23905091#1,1705717487,259090953
-23905091#2,259094273,1705717487
-23905091#3,259094272,259094273
-23905091#4,370531072,259094272
-23905116,259090879,259096350
-23907551,907447147,258583787
-23907558,259133601,259133584
-23907567#0,3853097703,3344862284
-23907567#1,259133659,3853097703
-23907619,991979862,3853324919
-23907627#0,3861248558,259134176
-23907627#1,259134177,3861248558
-23907627#2,994831618,259134177
-23907627#3,259862702,994831618
-23907627#4,259134200,259862702
-23907627#5,311421745,259134200
-23907627#6,2622360083,311421745
-23907627#7,311421798,2622360083
-23907627#8,259134201,311421798
-23907627#9,259134202,259134201
-23907658#0,370578711,259134633
-23907658#1,259134634,370578711
-23907664#0,3354599068,259133791
-23907664#1,3361784293,3354599068
-23907664#10,895901190,259134705
-23907664#11,259134706,895901190
-23907664#12,259134707,259134706
-23907664#2,3361784294,3361784293
-23907664#3,895901219,3361784294
-23907664#4,3361784298,895901219
-23907664#5,259134701,3361784298
-23907664#6,259134702,259134701
-23907664#7,259134703,259134702
-23907664#8,259134704,259134703
-23907664#9,259134705,259134704
-23907666,2223529166,259134709
-23907673#0,2161121563,259093657
-23907673#1,2300722368,2161121563
-23907673#2,259134779,2300722368
-23907673#3,370532152,259134779
-23907673#4,1705071508,370532152
-23907673#5,3045840580,1705071508
-23907673#6,3045840582,3045840580
-23907673#7,1705071475,3045840582
-23907674,259134793,259134789
-23907675#0,3045840593,259134781
-23907675#1,311422055,3045840593
-23907675#2,3045811050,311422055
-23907675#3,3045805740,3045811050
-23907675#4,3978090744,3045805740
-23907675#5,3005152125,3978090744
-23907675#6,1705000707,3005152125
-23919165,259134634,259254307
-23919171#0,583326901,259134678
-23919171#1,2273234310,583326901
-23919171#2,2273234331,2273234310
-23919171#3,583326900,2273234331
-23919171#4,259254688,583326900
-23919171#5,2273234377,259254688
-23919171#6,259254689,2273234377
-23919171#7,259254690,259254689
-23919443#0,259261580,259261518
-23919443#1,259254688,259261580
-23919447#0,259261817,259254529
-23919447#1,259261818,259261817
-23919464,259262114,259261823
-23919497,2274365954,259262206
-23919507#0,259262391,259262700
-23919507#1,259262865,259262391
-23919509,259134642,259254521
-23941729,259509089,259509054
-23941732#0,370531865,259509050
-23941732#1,1705000638,370531865
-23941732#2,259509092,1705000638
-23941732#3,259509115,259509092
-23941732#4,259509116,259509115
-23941739#0,259509115,259509212
-23941739#1,259509213,259509115
-23941755,259509357,259509356
-23941763#0,2850146096,259509507
-23941763#1,259509356,2850146096
-23941763#2,423006489,259509356
-23941763#3,259509054,423006489
-23941763#4,2850150904,259509054
-23941763#5,259509360,2850150904
-23941763#6,914796383,259509360
-23941767#0,259509361,259509498
-23941767#1,259509360,259509361
-23941767#2,259509511,259509360
-23941767#3,2850150910,259509511
-23941767#4,914796405,2850150910
-23957255#0,2673367022,259133893
-23957255#1,259717302,2673367022
-23957255#2,259717294,259717302
-23957257,259717302,259717298
-23957264#0,259134775,259134774
-23957264#1,259134776,259134775
-23957281#0,259717498,259717488
-23957281#1,259717499,259717498
-23957282,259717505,259133797
-23957283#0,3770784713,259717505
-23957283#1,259133766,3770784713
-23957285#0,259717521,259717498
-23957285#1,2337325518,259717521
-23957285#2,259133781,2337325518
-23957286,259717521,259717499
-23957290#0,3770784709,259133765
-23957290#1,259717503,3770784709
-23957290#10,259717544,259717543
-23957290#11,259717545,259717544
-23957290#12,259133816,259717545
-23957290#2,3306511130,259717503
-23957290#3,259717538,3306511130
-23957290#4,259717539,259717538
-23957290#5,259717540,259717539
-23957290#6,259717541,259717540
-23957290#7,3508410349,259717541
-23957290#8,259717542,3508410349
-23957290#9,259717543,259717542
-23957295#0,259717789,259133807
-23957295#1,259717799,259717789
-23957295#2,259717544,259717799
-23957295#3,1709828117,259717544
-23957295#4,1709828115,1709828117
-23957295#5,1709828123,1709828115
-23957295#6,259717581,1709828123
-23957301#0,259717633,259717539
-23957301#1,259133802,259717633
-23957302#0,259717634,259717633
-23957302#1,259717635,259717634
-23957302#2,259717636,259717635
-23957305#0,259717635,259133804
-23957305#1,259717541,259717635
-23957306,259133803,259717634
-23957307,259717542,259717636
-23957309,259717662,259717633
-23957310,259717538,259717662
-23957328#0,4111998699,259133806
-23957328#1,259717789,4111998699
-23957345#0,259717828,259717824
-23957345#1,259717829,259717828
-23957345#2,259717830,259717829
-23957345#3,259717831,259717830
-23957345#4,259717832,259717831
-23957345#5,895901164,259717832
-23957345#6,259134723,895901164
-23957353#0,259717867,259717832
-23957353#1,259717868,259717867
-23957353#2,259134705,259717868
-23957365#0,895901212,259717972
-23957365#1,259717973,895901212
-23957382#0,259718165,259718157
-23957382#1,259134702,259718165
-23957383#0,259717889,259718165
-23957383#1,259717976,259717889
-23957383#2,259717868,259717976
-23957388#0,2337261193,259718177
-23957388#1,259718263,2337261193
-23957406#0,3306511117,259718264
-23957406#1,3306511107,3306511117
-23957406#2,1849049493,3306511107
-23957406#3,3306511125,1849049493
